terreno,construccion,recamaras,banos,estacionamientos,ubicacion,precio,anio_construct,tipo
198.0,198.0,2,2,2,"Periodista, Miguel Hidalgo, Ciudad De México 11220, México.","$4,950,000 MXN",2022,departamento
34.5,34.5,1,1,0,"Centro De La Ciudad De México Area 2, Cuauhtémoc, Ciudad De México 06010, México.","$2,050,000 MXN",5,Laminado
60.0,60.0,2,1,0,"Salvador Díaz Mirón, Gustavo A. Madero, Ciudad De México 07400, México.","$1,300,000 MXN",16,regular
114.5,80.0,3,1,1,"Del Valle, Benito Juárez, Ciudad De México 03100, México.","$3,500,000 MXN",50,Lozeta
50.0,88.0,2,1,0,"Ejercito De Agua Prieta, Iztapalapa, Ciudad De México 09578, México.","$1,660,000 MXN",2012,casa
94.0,210.0,5,3,2,"Toriello Guerra, Tlalpan, Ciudad De México 14050, México.","$7,490,000 MXN",2009,regular
270.0,275.0,3,2,3,"Narvarte Poniente, Benito Juárez, Ciudad De México 03020, México.","$10,000,000 MXN",1983,regular
120.0,190.0,2,3,2,"El Contadero, Cuajimalpa De Morelos, Ciudad De México 05500, México.","$5,200,000 MXN",2011,casa-en-condominio
108.0,108.0,2,3,2,"Miguel Hidalgo, Tlalpan, Ciudad De México 14260, México.","$4,200,000 MXN",20,casa-en-condominio
104.0,190.0,3,3,1,"San Jerónimo Aculco, La Magdalena Contreras, Ciudad De México 10400, México.","$5,500,000 MXN",23,regular
242.0,335.0,4,4,2,"San Jerónimo Aculco, La Magdalena Contreras, Ciudad De México 10400, México.","$8,900,000 MXN",28,casa-en-condominio
183.4,187.7,3,1,2,"San Salvador Cuauhtenco, Milpa Alta, Ciudad De México 12300, México.","$2,250,000 MXN",20,casa
170.0,240.0,3,2,2,"Santo Tomás Ajusco, Tlalpan, Ciudad De México 14710, México.","$2,400,000 MXN",2,casa
340.0,332.0,3,3,7,"Villa Verdún, Alvaro Obregón, Ciudad De México 01810, México.","$18,900,000 MXN",2010,casa
50.0,50.0,2,1,0,"Fuentes Brotantes Fovissste, Tlalpan, Ciudad De México 14410, México.","$2,200,000 MXN",1994,regular
85.0,85.0,2,2,2,"Lomas De Vista Hermosa, Cuajimalpa De Morelos, Ciudad De México 05100, México.","$5,755,945 MXN",2,departamento
64.0,64.0,2,1,1,"Gabriel Hernández, Gustavo A. Madero, Ciudad De México 07080, México.","$2,469,000 MXN",2023,departamento
53.0,53.0,1,1,1,"Gabriel Hernández, Gustavo A. Madero, Ciudad De México 07080, México.","$1,890,000 MXN",2023,departamento
72.0,72.0,2,2,1,"Gabriel Hernández, Gustavo A. Madero, Ciudad De México 07080, México.","$2,765,000 MXN",2023,departamento
105.0,105.0,2,2,1,"Avante, Coyoacán, Ciudad De México 04460, México.","$4,950,000 MXN",2004,departamento
66.0,66.0,2,1,1,"Portales, Benito Juárez, Ciudad De México 03300, México.","$2,800,000 MXN",1984,Granito
90.0,172.8,3,3,0,"Emiliano Zapata Fraccionamiento Popular, Coyoacán, Ciudad De México 04919, México.","$3,730,000 MXN",1994,regular
408.0,200.0,7,2,5,"La Conchita, Tláhuac, Ciudad De México 13360, México.","$3,300,000 MXN",2000,casa
92.5,92.5,2,2,1,"San Miguel Chapultepec, Miguel Hidalgo, Ciudad De México 11850, México.","$6,500,000 MXN",2006,regular
67.5,67.5,2,2,1,"Obrera, Cuauhtémoc, Ciudad De México 06800, México.","$4,050,000 MXN",3,penthouse
80.5,70.1,2,2,1,"Granada, Miguel Hidalgo, Ciudad De México 11520, México.","$7,397,000 MXN",2023,departamento
453.0,950.0,7,6,4,"Bosques De Las Lomas, Miguel Hidalgo, Ciudad De México 11700, México.","$33,000,000 MXN",1984,"mármol, loseta"
"1,765.0",577.0,3,4,8,"Tetelpan, Alvaro Obregón, Ciudad De México 01700, México.","$29,980,000 MXN",1987,casa
