terreno,construccion,recamaras,banos,estacionamientos,ubicacion,precio,anio_construct,cp,alcaldia,colonia,grado_marginalidad,pob_2010,tipo_seccion,tipo_col,precio_str,lat_long,lat,long
44.8,44.8,1.0,1.0,0,"Prado Churubusco, Coyoacán, Ciudad De México 04230, México.",2200000.0,2010.0,4230,COYOACAN,PRADO CHURUBUSCO,1.0,10469.0,URBANO(A),COLONIA,"$2,200,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
85.8,85.8,3.0,2.0,1,"Santa Teresa, La Magdalena Contreras, Ciudad De México 10710, México.",3100000.0,1940.0,10710,LA MAGDALENA CONTRERAS,SANTA TERESA,1.0,2434.0,URBANO(A),COLONIA,"$3,100,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
69.1,69.1,1.0,1.0,1,"Tlalpan Centro, Tlalpan, Ciudad De México 14000, México.",4500000.0,2002.0,14000,TLALPAN,RESIDENCIAL INSURGENTES SUR (U HAB),2.0,12128.0,URBANO(A),UNIDAD HABITACIONAL,"$4,500,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
67.0,67.0,2.0,2.0,1,"Santa María La Ribera, Cuauhtémoc, Ciudad De México 06400, México.",3100000.0,2004.0,6400,CUAUHTEMOC,SANTA MARIA LA RIBERA I,4.0,40960.0,URBANO(A),COLONIA,"$3,100,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
158.0,158.0,3.0,3.0,2,"Juárez, Cuauhtémoc, Ciudad De México 06600, México.",16733735.0,2008.0,6600,CUAUHTEMOC,JUAREZ,2.0,10184.0,URBANO(A),COLONIA,"$16,733,735 MXN / $870,000 USD","(19.4326296, -99.1331785)",19.4326296,-99.1331785
161.0,82.0,2.0,2.0,2,"Buenavista, Cuauhtémoc, Ciudad De México 06350, México.",4650000.0,2022.0,6350,CUAUHTEMOC,BUENAVISTA I,3.0,15605.0,URBANO(A),COLONIA,"$4,650,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
85.0,85.0,2.0,2.0,1,"Xoco, Benito Juárez, Ciudad De México 03330, México.",5450000.0,2024.0,3330,BENITO JUAREZ,XOCO,1.0,4002.0,URBANO(A),COLONIA,"$5,450,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
57.0,57.0,2.0,1.0,0,"San Marcos, Azcapotzalco, Ciudad De México 02020, México.",1690000.0,2000.0,2020,AZCAPOTZALCO,SAN MARCOS (BARR),4.0,8265.0,URBANO(A),BARRIO,"$1,690,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
90.0,90.0,2.0,1.0,1,"Nochebuena, Benito Juárez, Ciudad De México 03720, México.",4780000.0,1933.0,3720,BENITO JUAREZ,NOCHE BUENA,1.0,2257.0,URBANO(A),COLONIA,"$4,780,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
80.0,80.0,3.0,2.0,1,"San Bartolo Atepehuacan, Gustavo A. Madero, Ciudad De México 07730, México.",3500000.0,2013.0,7730,GUSTAVO A. MADERO,CHURUBUSCO TEPEYAC,3.0,8378.0,URBANO(A),PUEBLO,"$3,500,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
94.0,136.0,3.0,1.0,1,"San José Insurgentes, Benito Juárez, Ciudad De México 03900, México.",7821000.0,1930.0,3900,BENITO JUAREZ,SAN JOSE INSURGENTES,1.0,5958.0,URBANO(A),COLONIA,"$7,821,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
201.0,201.0,3.0,3.0,2,"San José Insurgentes, Benito Juárez, Ciudad De México 03900, México.",15800000.0,2001.0,3900,BENITO JUAREZ,SAN JOSE INSURGENTES,1.0,5958.0,URBANO(A),COLONIA,"$15,800,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
135.0,338.0,3.0,4.0,2,"Lomas De los Angeles De Tetelpan, Alvaro Obregón, Ciudad De México 01790, México.",5000000.0,2014.0,1790,ALVARO OBREGON,LOMAS DE LOS ANGELES TETELPAN,4.0,7915.0,URBANO(A),COLONIA,"$5,000,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
60.0,60.0,1.0,1.0,1,"San José Insurgentes, Benito Juárez, Ciudad De México 03900, México.",4443075.0,2002.0,3900,BENITO JUAREZ,SAN JOSE INSURGENTES,1.0,5958.0,URBANO(A),COLONIA,"$4,443,075 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
198.0,174.0,3.0,2.0,2,"Jardines De Coyoacán, Coyoacán, Ciudad De México 04890, México.",7300000.0,1977.0,4890,COYOACAN,CAMPESTRE COYOACAN (FRACC),1.0,6339.0,URBANO(A),FRACCIONAMIENTO,"$7,300,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
216.0,237.0,3.0,1.0,1,"San Miguel Ajusco, Tlalpan, Ciudad De México 14700, México.",1800000.0,2012.0,14700,TLALPAN,JARDINES DE SAN JUAN,5.0,19911.0,URBANO(A),PUEBLO,"$1,800,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
90.0,90.0,1.0,2.0,2,"San José Insurgentes, Benito Juárez, Ciudad De México 03900, México.",6299000.0,2002.0,3900,BENITO JUAREZ,SAN JOSE INSURGENTES,1.0,5958.0,URBANO(A),COLONIA,"$6,299,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
150.0,292.0,7.0,2.0,3,"Veinte De Noviembre Quinto Tramo, Venustiano Carranza, Ciudad De México 15309, México.",5290000.0,1945.0,15309,VENUSTIANO CARRANZA,20 DE NOVIEMBRE,4.0,19368.0,URBANO(A),COLONIA,"$5,290,000 MXN","(19.4326296, -99.1331785)",19.4326296,-99.1331785
