,,CATALOGO DE COLONIAS DEL ESTADO DE DISTRITO FEDERAL,CATALOGO DE COLONIAS ,,,,,,,,
,,,,,,,,,,,
,ID,ENTIDAD,DISTRITO,MUNICIPIO,NOMBRE DEL MUNICIPIO,SECCION,TIPO DE SECCION,TIPO DE COLONIA,NOMBRE DE LA COLONIA,CP,CONTROL
,1701,9,1,5,GUSTAVO A. MADERO,923,URBANO(A),COLONIA,EL ARBOLILLO,7240,1811
,1644,9,1,5,GUSTAVO A. MADERO,924,URBANO(A),AMPLIACION,BENITO JUAREZ,7259,1750
,1619,9,1,5,GUSTAVO A. MADERO,924,URBANO(A),COLONIA,LA PASTORA,7290,1725
,1644,9,1,5,GUSTAVO A. MADERO,925,URBANO(A),AMPLIACION,BENITO JUAREZ,7259,1750
,1643,9,1,5,GUSTAVO A. MADERO,926,URBANO(A),COLONIA,BENITO JUAREZ,7250,1749
,1644,9,1,5,GUSTAVO A. MADERO,926,URBANO(A),AMPLIACION,BENITO JUAREZ,7259,1750
,1701,9,1,5,GUSTAVO A. MADERO,926,URBANO(A),COLONIA,EL ARBOLILLO,7240,1811
,1643,9,1,5,GUSTAVO A. MADERO,927,URBANO(A),COLONIA,BENITO JUAREZ,7250,1749
,1701,9,1,5,GUSTAVO A. MADERO,927,URBANO(A),COLONIA,EL ARBOLILLO,7240,1811
,1629,9,1,5,GUSTAVO A. MADERO,928,URBANO(A),UNIDAD HABITACIONAL,EL ARBOLILLO 2,7249,1735
,1622,9,1,5,GUSTAVO A. MADERO,928,URBANO(A),UNIDAD HABITACIONAL,EL ARBOLILLO 3,7249,1728
,1631,9,1,5,GUSTAVO A. MADERO,928,URBANO(A),COLONIA,ZONA ESCOLAR ORIENTE,7239,1737
,1621,9,1,5,GUSTAVO A. MADERO,929,URBANO(A),COLONIA,ZONA ESCOLAR,7230,1727
,1621,9,1,5,GUSTAVO A. MADERO,930,URBANO(A),COLONIA,ZONA ESCOLAR,7230,1727
,1621,9,1,5,GUSTAVO A. MADERO,931,URBANO(A),COLONIA,ZONA ESCOLAR,7230,1727
,1629,9,1,5,GUSTAVO A. MADERO,932,URBANO(A),UNIDAD HABITACIONAL,EL ARBOLILLO 2,7249,1735
,1623,9,1,5,GUSTAVO A. MADERO,932,URBANO(A),UNIDAD HABITACIONAL,TONACA CUAUTITLAN,7248,1729
,1631,9,1,5,GUSTAVO A. MADERO,932,URBANO(A),COLONIA,ZONA ESCOLAR ORIENTE,7239,1737
,1628,9,1,5,GUSTAVO A. MADERO,933,URBANO(A),UNIDAD HABITACIONAL,AIDEE SOLIS CARDENAS,7248,1734
,1629,9,1,5,GUSTAVO A. MADERO,933,URBANO(A),UNIDAD HABITACIONAL,EL ARBOLILLO 2,7249,1735
,1626,9,1,5,GUSTAVO A. MADERO,933,URBANO(A),UNIDAD HABITACIONAL,MATIAS ROMERO ZONA NORTE,7248,1732
,1625,9,1,5,GUSTAVO A. MADERO,933,URBANO(A),UNIDAD HABITACIONAL,MATIAS ROMERO ZONA SUR,7248,1731
,1627,9,1,5,GUSTAVO A. MADERO,933,URBANO(A),UNIDAD HABITACIONAL,MEXICUIZAPAN,7248,1733
,1624,9,1,5,GUSTAVO A. MADERO,933,URBANO(A),UNIDAD HABITACIONAL,TABLAS DE SANTA TERESA(U HAB ORQUIDEAS),7248,1730
,1631,9,1,5,GUSTAVO A. MADERO,933,URBANO(A),COLONIA,ZONA ESCOLAR ORIENTE,7239,1737
,1629,9,1,5,GUSTAVO A. MADERO,934,URBANO(A),UNIDAD HABITACIONAL,EL ARBOLILLO 2,7249,1735
,1631,9,1,5,GUSTAVO A. MADERO,934,URBANO(A),COLONIA,ZONA ESCOLAR ORIENTE,7239,1737
,1629,9,1,5,GUSTAVO A. MADERO,935,URBANO(A),UNIDAD HABITACIONAL,EL ARBOLILLO 2,7249,1735
,1630,9,1,5,GUSTAVO A. MADERO,935,URBANO(A),-,LUIS E RODRIGUEZ OROZCO,7239,1736
,2370,9,1,5,GUSTAVO A. MADERO,935,URBANO(A),UNIDAD HABITACIONAL,LUIS ENRIQUE RODRIGUEZ OROZCO,7239,3444
,1631,9,1,5,GUSTAVO A. MADERO,935,URBANO(A),COLONIA,ZONA ESCOLAR ORIENTE,7239,1737
,1643,9,1,5,GUSTAVO A. MADERO,936,URBANO(A),COLONIA,BENITO JUAREZ,7250,1749
,1619,9,1,5,GUSTAVO A. MADERO,936,URBANO(A),COLONIA,LA PASTORA,7290,1725
,1644,9,1,5,GUSTAVO A. MADERO,937,URBANO(A),AMPLIACION,BENITO JUAREZ,7259,1750
,1643,9,1,5,GUSTAVO A. MADERO,937,URBANO(A),COLONIA,BENITO JUAREZ,7250,1749
,1643,9,1,5,GUSTAVO A. MADERO,938,URBANO(A),COLONIA,BENITO JUAREZ,7250,1749
,1644,9,1,5,GUSTAVO A. MADERO,938,URBANO(A),AMPLIACION,BENITO JUAREZ,7259,1750
,1644,9,1,5,GUSTAVO A. MADERO,939,URBANO(A),AMPLIACION,BENITO JUAREZ,7259,1750
,1619,9,1,5,GUSTAVO A. MADERO,939,URBANO(A),COLONIA,LA PASTORA,7290,1725
